"","iso2c","year","country","RR_Independence","RR_CurrencyCrisis","RR_InflationCrisis","RR_StockMarketCrash","RR_SovDebtCrisisDom","RR_SovDebtCrisisExt","RR_BankingCrisis","RR_YearlyCrisisTally","LV2012.Fiscal","Keefer2007.Fiscal","Honohan2003.Fiscal","HonohanCrisisOngoing","ongoingLV","polity2"
"179","AR",1958,"Argentina","1","1","1","0","0","1","0","3",NA,NA,NA,NA,NA,-1
"180","AR",1959,"Argentina","1","1","1","0","0","1","0","3",NA,NA,NA,NA,NA,-1
"181","AR",1960,"Argentina","1","0","0","0","0","1","0","1",NA,NA,NA,NA,NA,-1
"182","AR",1961,"Argentina","1","0","0","0","0","1","0","1",NA,NA,NA,NA,NA,-1
"183","AR",1962,"Argentina","1","1","1","0","0","1","0","3",NA,NA,NA,NA,NA,-1
"184","AR",1963,"Argentina","1","0","0","0","0","1","0","1",NA,NA,NA,NA,NA,-1
"185","AR",1964,"Argentina","1","1","1","0","0","1","0","3",NA,NA,NA,NA,NA,-1
"186","AR",1965,"Argentina","1","1","1","0","0","1","0","3",NA,NA,NA,NA,NA,-1
"187","AR",1966,"Argentina","1","0","1","0","0","0","0","1",NA,NA,NA,NA,NA,-9
"188","AR",1967,"Argentina","1","1","1","0","0","0","0","2",NA,NA,NA,NA,NA,-9
"189","AR",1968,"Argentina","1","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,-9
"190","AR",1969,"Argentina","1","1","0","0","0","0","0","1",NA,NA,NA,NA,NA,-9
"191","AR",1970,"Argentina","1","1","0","1","0","0","0","2",NA,NA,NA,NA,NA,-9
"192","AR",1971,"Argentina","1","1","1","1","0","0","0","3",NA,NA,NA,NA,NA,-9
"193","AR",1972,"Argentina","1","0","1","1","0","0","0","2",NA,NA,NA,NA,NA,-9
"194","AR",1973,"Argentina","1","0","1","1","0","0","0","2",NA,NA,NA,NA,NA,6
"195","AR",1974,"Argentina","1","1","1","0","0","0","0","2",NA,NA,NA,NA,NA,6
"196","AR",1975,"Argentina","1","1","1","1","0","0","0","3",NA,NA,NA,NA,NA,6
"197","AR",1976,"Argentina","1","1","1","0","0","0","0","2",NA,NA,NA,NA,NA,-9
"198","AR",1977,"Argentina","1","1","1","1","0","0","0","3",NA,NA,NA,NA,NA,-9
"199","AR",1978,"Argentina","1","1","1","0","0","0","0","2",NA,NA,NA,NA,NA,-9
"200","AR",1979,"Argentina","1","1","1","0","0","0","0","2",NA,NA,NA,NA,NA,-9
"201","AR",1980,"Argentina","1","1","1","1","0","0","1","4",55.1,55.1,55.1,0,0,-9
"202","AR",1981,"Argentina","1","1","1","1","0","0","1","4",NA,NA,NA,NA,NA,-8
"203","AR",1982,"Argentina","1","1","1","0","1","1","1","5",NA,NA,NA,NA,NA,-8
"204","AR",1983,"Argentina","1","2","1","1","0","1","0","5",NA,NA,NA,NA,NA,8
"205","AR",1984,"Argentina","1","1","1","1","0","1","0","4",NA,NA,NA,NA,NA,8
"206","AR",1985,"Argentina","1","2","1","0","0","1","0","4",NA,NA,NA,NA,NA,8
"207","AR",1986,"Argentina","1","1","1","1","0","1","0","4",NA,NA,NA,NA,NA,8
